UniProt Accession	129C:127C	129C:127N	128C:127C	128C:127N
O35969-2	0.112	0.197	0.093	0.2035
Q61097	-0.341	-0.209	-0.317	-0.2615
P09925	-0.054	-0.072	0.025	-0.0395
Q3UE37	-0.373	-0.232	-0.335	-0.1825
O89086	-1.113	-0.791	-0.95	-0.6425
P61215	0.418	0.283	0.341	0.3215
Q3UUJ4	0.08	0.001	0.003	-0.0415
Q9JJZ4	-0.09	0.005	-0.086	0.0135
D3Z3Y1	0.519	0.293	0.399	0.1535
Q91W96	0.083	-0.028	0.097	-0.0055
Q8K0Z7	0.047	0.163	-0.076	0.0865
Q6PFQ7	-0.117	-0.069	-0.043	-0.0165
Q3UN02	0.034	-0.013	0.011	0.0135
Q8K2Q7	-0.16	-0.324	-0.083	-0.2415
B1AX58	0.214	0.286	0.094	0.1665
Q8CCH7	-0.079	-0.1	0.082	0.0385
Q6P549	0.03	-0.04	-0.012	-0.0415
E9Q8I7	-0.726	-0.655	-0.563	-0.4825
Q9ERR7	0.523	0.545	0.502	0.5555
Q99N93	0.206	0.059	0.08	-0.0645
J3QN89	0.131	0.152	0.097	0.1605
Q8BL66	0.236	0.416	0.1	0.3065
E9Q7E2	-0.063	-0.037	0.048	-0.0055
A2A654	-0.62	-0.447	-0.527	-0.4105
Q8BIF0	1.75	1.95	1.552	1.7835
Q66GT5	-0.124	-0.132	-0.136	-0.2125
P42337	0.076	-0.14	0.026	-0.1265
P49586	-0.19	-0.012	-0.395	-0.2975
Q9QZ73	0.205	0.139	0.158	0.1515
Q9Z2D3	0.169	0.16	0.141	0.1275
Q8VC42	0.097	0.117	0.177	0.0565
P52332	-0.474	-0.294	-0.298	-0.3375
Q7TQK1	0.071	-0.133	0.046	-0.1115
Q80V26	0.396	0.34	0.273	0.4175
Q61982	1.258	1.29	1.065	1.1655
Q8CG46	-0.07	-0.313	-0.147	-0.2735
O08915	0.007	0.13	0.041	0.1345
Q9WTP7	0.194	0.193	0.114	0.1035
Q68FD9	1.184	1.098	1.009	0.9355
Q8VHL0	0.002	-0.138	-0.062	-0.1235
Q8BHN0	0.181	0.323	0.137	0.2605
P54310-2	0.059	-0.167	0.085	-0.0785
S4R1Y1	-0.497	-0.608	-0.413	-0.4465
Q9DB25	0.138	0.018	0.038	-0.0395
Q571I9	-0.091	-0.119	-0.088	-0.1475
P24472	-0.454	-0.299	-0.341	-0.1485
F8VQ54	0.152	0.181	0.109	0.1105
Q9CPX6	0.178	0.193	0.103	0.1835
Q9DBV4	0.803	0.824	0.621	0.6425
Q04207	-0.384	-0.164	-0.189	-0.0875
Q80X73	-0.328	-0.253	-0.163	-0.0955
Q6ZWU9	-0.321	-0.375	-0.248	-0.2995
Q9DC63	0.023	-0.066	-0.02	-0.0725
Q3TMX5	2.002	2.079	2.184	2.1495
Q99J39-2	0.07	-0.042	-0.074	-0.0745
P80560	0.115	0.154	0.092	0.1515
P58269	-0.109	0.05	-0.01	0.0755
Q9R049	-0.033	-0.114	-0.014	-0.0945
Q8VHL1	0.265	0.253	0.213	0.2295
Q8R1I1	1.338	1.443	1.005	1.0055
Q91VW5	0.475	0.604	0.248	0.4665
Q3U186	-0.364	-0.218	-0.293	-0.1805
Q2TA57	0.278	0.122	0.093	-0.0585
Q8BHD8	0.059	0.079	0.071	0.1205
I7HPW4	0.139	0.141	0.161	0.1815
Q8BXR1	0.153	0.268	0.067	0.1265
Q09143	0.37	0.217	0.287	0.1675
Q9QYS9-7	0.147	0.175	0.144	0.1755
Q69ZS8	0.052	-0.066	-0.017	-0.1235
Q8CI32	0.167	0.146	0.184	0.1735
Q9D0L4	0.002	-0.088	-0.028	-0.1935
Q8C0Z1	0.667	0.702	0.451	0.5305
Q8BUH8	-0.057	-0.005	-0.003	0.0225
P11930	0.09	0.03	0.086	-0.0295
Q9JKK0	-0.026	0.013	0.003	0.0395
Q8BH15	-0.246	-0.318	-0.337	-0.3775
B1AV75	0.099	0.087	0.076	0.0505
Q8BUL6	-0.772	-0.652	-0.81	-0.6565
J3QNK8	0.01	0.132	0.017	0.0925
Q60710	-0.002	-0.024	0.089	0.0225
Q8C092	0.104	0.135	0.235	0.1025
B2RQG2	-0.407	-0.327	-0.306	-0.1925
Q8R4V2	0.054	-0.06	-0.023	-0.1105
Q8VCG1	0.27	0.138	0.305	0.1105
Q9D3D9	-0.251	-0.084	-0.21	0.0075
Q63810	0.192	0.218	0.147	0.1565
Q3URQ4	0.017	0.049	0.077	-0.0775
Q80YR9	-0.259	-0.049	-0.307	-0.1645
Q8C0M0-3	-0.443	-0.256	-0.39	-0.2085
P04919	0.158	0.111	0.127	0.0405
Q924L1	0.047	0.121	0.037	0.0805
P61514	-0.699	-0.702	-0.494	-0.4605
E9QJT5	0.106	0.147	0.085	0.1295
Q8R2S9	-0.114	-0.188	-0.021	-0.0125
Q9D6J5	-0.031	0.163	0.04	0.2035
Q3ULF4	-0.289	-0.19	-0.206	-0.0645
E9PZS5	0.231	0.179	0.197	0.1885
Q8C6B0	0.208	0.119	0.06	-0.1075
Q99ME9	-0.141	-0.222	-0.012	-0.1305
Q9CQZ6	-0.084	0.087	-0.092	0.0825
P20060	-0.066	0.044	0.082	0.1415
G5E8J0	0.894	0.841	0.807	0.7925
P63280	-0.141	-0.134	-0.084	-0.0415
Q9ERQ8	-0.029	0.072	0.006	0.0115
Q9ERG0-2	-0.167	-0.033	0.022	0.1235
Q2YDW2	0.046	-0.078	0.066	-0.0465
Q8VD63	-0.155	-0.067	-0.174	-0.1285
Q4VC33-2	-0.218	-0.124	-0.104	-0.0375
E9Q720	0.102	0.051	0.262	0.1375
Q8BIG7	0.326	0.395	0.141	0.3255
Q3U319	-0.523	-0.238	-0.227	-0.0135
Q99LI2	0.138	0.164	0.044	0.1145
Q9CWZ3	0.019	0.22	-0.074	0.1525
P53612	0.093	0.042	0.01	-0.0215
Z4YJT3	0.064	0.122	0.052	0.0955
Q64378	0.019	-0.143	0.085	-0.0655
Q921I9	0.296	0.232	0.037	0.0325
Q8VC03	0.082	0.142	0.021	0.0755
D3YUP1	0.177	-0.018	0.094	-0.0145
P48725-3	0.976	-0.381	1.087	-0.2545
Q9D773	-0.139	-0.207	-0.106	-0.1725
P56375	-0.529	-0.202	-0.535	-0.1465
Q8BHF7	0.032	-0.01	-0.1	-0.0685
E9Q455	0.232	0.31	0.127	0.1605
G3X9A7	0.176	0.055	0.062	0.0155
O88848	0.041	-0.165	0.017	-0.1475
G3X8U3	0.013	-0.023	-0.033	-0.0395
Q9EP53	0.145	0.212	0.12	0.1725
P16460	-0.093	-0.149	-0.045	-0.1455
G3X937	-0.243	-0.195	-0.248	-0.1665
Q8C1E7	-0.497	-0.506	-0.384	-0.3545
A2AIV2	0.269	0.126	0.302	0.1395
E9QK53	0.154	0.133	0.024	0.0225
Q3URD3	-0.469	-0.562	-0.458	-0.3055
P60824	-0.473	-0.149	-0.265	-0.0165
Q8BSF4	0.082	-0.088	0.033	-0.0485
Q61334	-0.551	-0.259	-0.427	-0.1745
Q9D3P8	-0.023	-0.121	0.011	-0.0595
O55236	-0.006	-0.087	-0.028	-0.0865
Q3TRM4	0.141	0.006	-0.033	-0.1325
Q8K1N1	0.015	0.039	0.138	0.1615
P97376	0.001	-0.114	0.021	-0.0535
Q7TQK4	0.302	0.277	0.166	0.1155
Q9CU65	0.009	0.065	0.126	0.0585
Q80U49	-0.146	0.036	-0.098	0.0815
P39098	-0.232	-0.085	-0.24	-0.1945
Q8BHN5	-0.553	-0.58	-0.381	-0.3965
Q3TPX4	-0.039	0.041	-0.028	0.1565
Q9Z129	-0.261	-0.22	-0.354	-0.3015
Q8BFW7	-0.279	-0.074	-0.185	0.0315
Q8BQP9	0.099	0.111	0.083	0.0725
Q62018	0.067	-0.02	0.031	0.1015
P51141	-0.305	-0.24	-0.121	-0.1335
O08989	-0.005	0.011	0.002	0.0095
Q61743	0.031	0.01	-0.001	-0.0345
P46737	0.34	0.142	0.227	0.0145
Q80U23-2	0.121	0.335	0.034	0.2875
G3X9Y5	0.103	0.124	0.114	0.1845
Q8R3I3	0.142	0.169	0.091	0.0895
Q9D2G5-4	-0.557	-0.354	-0.576	-0.3275
O89050	0.243	-0.081	0.136	-0.1775
Q3TC93	0.326	0.21	0.12	0.0395
D6RH77	0.021	0.057	0.032	0.0675
Q80VL1	0.32	0.359	0.247	0.3165
